"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",1,16,0.03,64,0.0161265,1.28198,"km1",35895,35625,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",2,16,0.03,64,0.0103973,1.22385,"km1",35445,35175,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",3,16,0.03,64,0.0112461,1.24664,"km1",34365,34095,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",4,16,0.03,64,0.015649,1.26516,"km1",34590,34320,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",5,16,0.03,64,0.0105034,1.29323,"km1",34580,34310,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",1,2,0.03,64,2.6524e-06,0.962436,"km1",5310,5310,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",2,2,0.03,64,2.6524e-06,0.902708,"km1",5340,5340,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",3,2,0.03,64,0.0098497,0.976335,"km1",5390,5390,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",4,2,0.03,64,0.00768932,0.911651,"km1",5460,5460,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",5,2,0.03,64,2.6524e-06,0.902184,"km1",5310,5310,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",1,64,0.03,64,0.0206247,1.78246,"km1",80100,78645,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",2,64,0.03,64,0.017654,1.65845,"km1",80260,78790,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",3,64,0.03,64,0.0242319,1.64299,"km1",79630,78160,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",4,64,0.03,64,0.0208369,1.69576,"km1",80910,79455,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",5,64,0.03,64,0.0214734,1.55153,"km1",80510,79040,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",1,8,0.03,64,0.00451437,1.17137,"km1",22480,22390,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",2,8,0.03,64,0.00732591,1.09527,"km1",21945,21855,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",3,8,0.03,64,0.00398389,1.0857,"km1",21530,21440,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",4,8,0.03,64,0.00324122,1.17048,"km1",22395,22305,"no"
"Mt-KaHyPar Fast","af_shell10.mtx.hgr","no",5,8,0.03,64,0.00966002,1.08271,"km1",22260,22170,"no"
"Mt-KaHyPar Fast","af_shell6.mtx.hgr","no",1,16,0.03,64,0.00922229,0.725975,"km1",16880,16685,"no"
"Mt-KaHyPar Fast","af_shell6.mtx.hgr","no",2,16,0.03,64,0.00827153,0.729186,"km1",17395,17200,"no"
"Mt-KaHyPar Fast","af_shell6.mtx.hgr","no",3,16,0.03,64,0.0123915,0.735916,"km1",17915,17735,"no"
"Mt-KaHyPar Fast","af_shell6.mtx.hgr","no",4,16,0.03,64,0.0109653,0.784649,"km1",17335,17170,"no"
