"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","preprocessing_time","coarsening_time","initial_partitioning_time","batch_uncontraction_time","label_propagation_time","fm_time","objective","km1","cut","failed"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,16,0.03,16,0.0231287,4.26107,0.696211,0.978902,0.151665,0.74217,0.0679421,1.12199,"km1",33255,32985,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,16,0.03,16,0.0257811,3.9134,0.700836,0.957396,0.139037,0.727064,0.0592131,0.875663,"km1",33835,33565,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,16,0.03,16,0.0252506,3.7799,0.690301,0.985997,0.138861,0.711401,0.0646687,0.736709,"km1",33490,33220,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,16,0.03,16,0.0209538,4.15838,0.697836,0.972152,0.14275,0.726928,0.0679473,1.06855,"km1",32920,32650,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,16,0.03,16,0.0260464,3.84532,0.697141,0.984029,0.137732,0.711729,0.0597442,0.740479,"km1",33200,32930,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,2,0.03,16,0.0143919,2.89818,0.696581,1.0422,0.00929986,0.708141,0.011052,0.0787735,"km1",5280,5280,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,2,0.03,16,0.000155166,2.82521,0.701973,1.02149,0.00868397,0.686515,0.0103781,0.0686311,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,2,0.03,16,0.000506609,2.80511,0.703903,1.00561,0.0101554,0.678342,0.0103236,0.0529695,"km1",5380,5380,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,2,0.03,16,0.00829805,2.8426,0.69753,1.01917,0.00851665,0.689953,0.0103939,0.0788348,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,2,0.03,16,0.00607003,2.83568,0.698084,1.02946,0.00936692,0.691386,0.0101832,0.0590557,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,64,0.03,16,0.029961,6.59593,0.698944,0.943941,0.462728,0.780484,0.14751,2.58179,"km1",77570,76070,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,64,0.03,16,0.029961,6.94405,0.694762,0.939951,0.458201,0.767939,0.147155,2.93966,"km1",76915,75460,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,64,0.03,16,0.029961,6.64502,0.695758,0.951859,0.474047,0.785392,0.138318,2.7385,"km1",77785,76300,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,64,0.03,16,0.029961,6.54393,0.68817,0.927623,0.468491,0.775439,0.141107,2.5063,"km1",77530,76045,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,64,0.03,16,0.029961,6.63846,0.698725,0.938025,0.470272,0.766277,0.143974,2.73484,"km1",76630,75160,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,8,0.03,16,0.0191556,3.31686,0.708689,1.00344,0.088568,0.685634,0.0359719,0.384888,"km1",21490,21400,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,8,0.03,16,0.00523052,3.2566,0.690472,0.987955,0.0899627,0.687403,0.0376667,0.38704,"km1",21440,21350,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,8,0.03,16,0.0215693,3.46202,0.691282,0.992935,0.0888618,0.712381,0.0413278,0.575718,"km1",21555,21465,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,8,0.03,16,0.0112249,3.23114,0.688993,0.990232,0.0871636,0.686758,0.0381011,0.357936,"km1",21480,21390,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,8,0.03,16,0.00271075,3.26288,0.698609,0.987066,0.0924234,0.695561,0.0391329,0.371574,"km1",21280,21190,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",1,16,0.03,16,0.0255435,1.35435,0.230136,0.337129,0.156028,0.222647,0.0290439,0.240855,"km1",16540,16360,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",2,16,0.03,16,0.0228497,1.39175,0.230035,0.331282,0.150021,0.227873,0.0279356,0.240432,"km1",16260,16065,"no"
