"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",1,16,0.03,64,0.0199459,2.05615,"km1",33805,33535,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",2,16,0.03,64,0.0161265,2.19246,"km1",33180,32910,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",3,16,0.03,64,0.018938,2.0407,"km1",33830,33560,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",4,16,0.03,64,0.0205825,2.07878,"km1",34060,33790,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",5,16,0.03,64,0.0169752,2.19219,"km1",33455,33185,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",1,2,0.03,64,6.89625e-05,1.4984,"km1",5250,5250,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",2,2,0.03,64,0.00707794,1.5108,"km1",5360,5360,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",3,2,0.03,64,3.58075e-05,1.46086,"km1",5350,5350,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",4,2,0.03,64,0.00524115,1.4806,"km1",5250,5250,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",5,2,0.03,64,8.22245e-05,1.49271,"km1",5260,5260,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",1,64,0.03,64,0.0297488,4.00911,"km1",76775,75320,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",2,64,0.03,64,0.0297488,3.92662,"km1",77410,75955,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",3,64,0.03,64,0.029961,4.11313,"km1",78065,76610,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",4,64,0.03,64,0.0297488,3.6954,"km1",77665,76195,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",5,64,0.03,64,0.0297488,3.97068,"km1",77355,75885,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",1,8,0.03,64,0.00711372,1.75074,"km1",21760,21670,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",2,8,0.03,64,0.00729939,1.75382,"km1",21735,21645,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",3,8,0.03,64,0.010164,1.77084,"km1",21400,21310,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",4,8,0.03,64,0.00525704,1.84295,"km1",21595,21490,"no"
"Mt-KaHyPar","af_shell10.mtx.hgr","no",5,8,0.03,64,0.0119146,1.79093,"km1",21460,21370,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",1,16,0.03,64,0.0169868,0.961066,"km1",16650,16485,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",2,16,0.03,64,0.0206313,0.945112,"km1",16735,16540,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",3,16,0.03,64,0.0165114,0.933367,"km1",16765,16585,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",4,16,0.03,64,0.018096,0.927562,"km1",16785,16605,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",5,16,0.03,64,0.0119161,0.89823,"km1",16640,16460,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",1,2,0.03,64,7.92305e-06,0.57432,"km1",1980,1980,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",2,2,0.03,64,7.92305e-06,0.572386,"km1",1970,1970,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",3,2,0.03,64,0.000205999,0.58446,"km1",1985,1985,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",4,2,0.03,64,0.00543521,0.573851,"km1",1960,1960,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",5,2,0.03,64,7.92305e-06,0.572138,"km1",1905,1905,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",1,64,0.03,64,0.0299151,1.71241,"km1",42225,40935,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",2,64,0.03,64,0.0299151,1.77136,"km1",41980,40720,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",3,64,0.03,64,0.0299151,1.74316,"km1",41820,40620,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",4,64,0.03,64,0.0299151,1.64533,"km1",42280,41005,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",5,64,0.03,64,0.0299151,1.66668,"km1",42175,40960,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",1,8,0.03,64,0.0180329,0.720488,"km1",9140,9080,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",2,8,0.03,64,0.0114567,0.724301,"km1",8975,8945,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",3,8,0.03,64,0.0059106,0.754232,"km1",8965,8935,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",4,8,0.03,64,0.00432599,0.773054,"km1",9035,9005,"no"
"Mt-KaHyPar","af_shell6.mtx.hgr","no",5,8,0.03,64,0.0134375,0.793775,"km1",8795,8765,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",1,16,0.03,64,0.0289777,2.0963,"km1",31197,31050,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",2,16,0.03,64,0.0270365,2.09103,"km1",28371,28212,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",3,16,0.03,64,0.0298695,2.15581,"km1",28752,28605,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",4,16,0.03,64,0.0297471,2.01572,"km1",26994,26958,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",5,16,0.03,64,0.0269316,2.08662,"km1",29325,29304,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",1,2,0.03,64,0.0285059,1.48517,"km1",5325,5325,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",2,2,0.03,64,0.000212045,1.46965,"km1",4869,4869,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",3,2,0.03,64,0.0237841,1.49239,"km1",5151,5151,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",4,2,0.03,64,0.0273604,1.4968,"km1",6099,6099,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",5,2,0.03,64,0.0214494,1.48438,"km1",4983,4983,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",1,64,0.03,64,0.0298685,4.44781,"km1",69783,68634,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",2,64,0.03,64,0.0299384,4.43633,"km1",68337,67455,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",3,64,0.03,64,0.0298685,4.25209,"km1",66264,65634,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",4,64,0.03,64,0.0296586,4.16285,"km1",66735,65850,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",5,64,0.03,64,0.0295887,4.07026,"km1",65913,65040,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",1,8,0.03,64,0.0275002,1.82086,"km1",20424,20376,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",2,8,0.03,64,0.0251305,1.7979,"km1",18297,18297,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",3,8,0.03,64,0.0293277,1.84843,"km1",20715,20667,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",4,8,0.03,64,0.0272728,1.80062,"km1",17733,17685,"no"
"Mt-KaHyPar","boneS10.mtx.hgr","no",5,8,0.03,64,0.0220089,1.78196,"km1",17238,17166,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",1,16,0.03,64,0.0244059,14.1668,"km1",299505,281574,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",2,16,0.03,64,0.0297971,13.4557,"km1",299331,281655,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",3,16,0.03,64,0.029962,13.3418,"km1",297987,280545,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",4,16,0.03,64,0.0289563,13.9214,"km1",303885,285624,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",5,16,0.03,64,0.029962,13.9995,"km1",315537,296610,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",1,2,0.03,64,0,5.8731,"km1",59154,59154,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",2,2,0.03,64,0,5.64035,"km1",59370,59370,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",3,2,0.03,64,0,5.64519,"km1",59004,59004,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",4,2,0.03,64,0,5.70761,"km1",60525,60525,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",5,2,0.03,64,0,5.65101,"km1",59502,59502,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",1,64,0.03,64,0.029962,33.8161,"km1",578526,518139,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",2,64,0.03,64,0.029962,34.2607,"km1",579483,519852,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",3,64,0.03,64,0.029962,30.6436,"km1",575439,515418,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",4,64,0.03,64,0.029962,33.2844,"km1",583365,522507,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",5,64,0.03,64,0.029962,30.0067,"km1",582150,522561,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",1,8,0.03,64,0.0116122,10.021,"km1",211959,203694,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",2,8,0.03,64,0.0286705,10.4378,"km1",211482,203325,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",3,8,0.03,64,0.0286678,10.1145,"km1",202989,195027,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",4,8,0.03,64,0.0299949,9.8082,"km1",214794,206409,"no"
"Mt-KaHyPar","Bump_2911.mtx.hgr","no",5,8,0.03,64,0.029657,10.441,"km1",205932,197826,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",1,16,0.03,64,0.0299975,254.322,"km1",2873546,2863046,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",2,16,0.03,64,0.0299975,314.239,"km1",2907968,2896856,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",3,16,0.03,64,0.0299975,272.372,"km1",2869099,2855962,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",4,16,0.03,64,0.0299975,296.3,"km1",2901977,2892067,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",5,16,0.03,64,0.0299975,297.564,"km1",2893780,2884627,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",1,2,0.03,64,0.00735581,282.079,"km1",9948,9948,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",2,2,0.03,64,0.00813554,280.492,"km1",10775,10775,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",3,2,0.03,64,0.00796103,225.165,"km1",10179,10179,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",4,2,0.03,64,0.00739935,274.719,"km1",9900,9900,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",5,2,0.03,64,0.0299997,340.813,"km1",56808,56808,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",1,64,0.03,64,0.0299946,648.631,"km1",4682642,4657613,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",2,64,0.03,64,0.0299946,750.796,"km1",4686060,4655084,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",3,64,0.03,64,0.0299946,701.432,"km1",4679525,4651159,"no"
"Mt-KaHyPar","circuit5M.mtx.hgr","no",4,64,0.03,64,0.0299946,613.891,"km1",4685758,4649102,"no"
