algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
PaToH-D,af_shell10.mtx.hgr,no,1,16,0.03,1,0.0,20.965,km1,35030,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,2,16,0.03,1,0.0,20.952,km1,35285,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,3,16,0.03,1,5.304758368263052e-05,20.962,km1,35880,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,4,16,0.03,1,0.00042438066946060005,20.93,km1,34895,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,5,16,0.03,1,0.0,20.981,km1,36165,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,1,2,0.03,1,2.6524038072572864e-06,5.83,km1,5260,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,2,2,0.03,1,2.6524038072572864e-06,5.805,km1,5610,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,3,2,0.03,1,2.6524038072572864e-06,5.809,km1,5350,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,4,2,0.03,1,2.6524038072572864e-06,5.794,km1,5270,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,5,2,0.03,1,2.6524038072572864e-06,5.819,km1,5300,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,1,64,0.03,1,4.2437616703416836e-05,30.256,km1,82685,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,2,64,0.03,1,0.0008911899507724197,30.12,km1,83940,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,3,64,0.03,1,0.0008911899507724197,30.141,km1,83110,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,4,64,0.03,1,0.0011033780342895039,30.21,km1,82065,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,5,64,0.03,1,4.2437616703416836e-05,30.174,km1,82545,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,1,8,0.03,1,5.30478650895283e-06,16.175,km1,22120,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,2,8,0.03,1,5.30478650895283e-06,16.15,km1,22250,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,3,8,0.03,1,5.30478650895283e-06,16.134,km1,22040,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,4,8,0.03,1,5.30478650895283e-06,16.147,km1,22160,2147483647,no
PaToH-D,af_shell10.mtx.hgr,no,5,8,0.03,1,5.30478650895283e-06,16.148,km1,22255,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,1,16,0.03,1,3.169170311223546e-05,6.593,km1,17355,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,2,16,0.03,1,0.00019015021867274662,6.552,km1,17940,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,3,16,0.03,1,3.169170311223546e-05,6.567,km1,18510,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,4,16,0.03,1,0.00019015021867274662,6.549,km1,17635,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,5,16,0.03,1,3.169170311223546e-05,6.554,km1,17865,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,1,2,0.03,1,7.92305132546467e-06,1.834,km1,1780,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,2,2,0.03,1,7.92305132546467e-06,1.816,km1,1955,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,3,2,0.03,1,7.92305132546467e-06,1.808,km1,1925,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,4,2,0.03,1,7.92305132546467e-06,1.809,km1,1890,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,5,2,0.03,1,7.92305132546467e-06,1.807,km1,1975,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,1,64,0.03,1,0.00012675877804535496,9.673,km1,44890,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,2,64,0.03,1,0.0013943465584991266,9.648,km1,45425,2147483647,no
PaToH-D,af_shell6.mtx.hgr,no,3,64,0.03,1,0.0013943465584991266,9.619,km1,44680,2147483647,no
