"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
"Zoltan","af_shell10.mtx.hgr","no",1,16,0.03,64,0.0249999999999999,4.2722,"km1",40325,40050,"no"
"Zoltan","af_shell10.mtx.hgr","no",2,16,0.03,64,0.0269999999999999,4.33276,"km1",39980,39705,"no"
"Zoltan","af_shell10.mtx.hgr","no",3,16,0.03,64,0.024,4.33849,"km1",44455,44180,"no"
"Zoltan","af_shell10.mtx.hgr","no",4,16,0.03,64,0.026,4.31267,"km1",41060,40790,"no"
"Zoltan","af_shell10.mtx.hgr","no",5,16,0.03,64,0.0129999999999999,4.325,"km1",41305,41035,"no"
"Zoltan","af_shell10.mtx.hgr","no",1,2,0.03,64,0.002,1.89657,"km1",5900,5900,"no"
"Zoltan","af_shell10.mtx.hgr","no",2,2,0.03,64,0.00499999999999989,1.97602,"km1",5720,5720,"no"
"Zoltan","af_shell10.mtx.hgr","no",3,2,0.03,64,0.0149999999999999,1.98265,"km1",6230,6230,"no"
"Zoltan","af_shell10.mtx.hgr","no",4,2,0.03,64,0.0249999999999999,1.9226,"km1",6470,6470,"no"
"Zoltan","af_shell10.mtx.hgr","no",5,2,0.03,64,0.022,1.92029,"km1",6900,6900,"no"
"Zoltan","af_shell10.mtx.hgr","no",1,64,0.03,64,0.026,4.95161,"km1",94220,92630,"no"
"Zoltan","af_shell10.mtx.hgr","no",2,64,0.03,64,0.026,4.9502,"km1",93590,92035,"no"
"Zoltan","af_shell10.mtx.hgr","no",3,64,0.03,64,0.026,4.97792,"km1",99970,98235,"no"
"Zoltan","af_shell10.mtx.hgr","no",4,64,0.03,64,0.0289999999999999,4.98426,"km1",94110,92530,"no"
"Zoltan","af_shell10.mtx.hgr","no",5,64,0.03,64,0.024,5.01821,"km1",93200,91690,"no"
"Zoltan","af_shell10.mtx.hgr","no",1,8,0.03,64,0.022,3.74242,"km1",26465,26370,"no"
"Zoltan","af_shell10.mtx.hgr","no",2,8,0.03,64,0.0269999999999999,3.76755,"km1",25435,25345,"no"
"Zoltan","af_shell10.mtx.hgr","no",3,8,0.03,64,0.0189999999999999,3.78407,"km1",26695,26590,"no"
"Zoltan","af_shell10.mtx.hgr","no",4,8,0.03,64,0.022,3.82699,"km1",25550,25445,"no"
"Zoltan","af_shell10.mtx.hgr","no",5,8,0.03,64,0.014,3.79258,"km1",26125,26020,"no"
"Zoltan","af_shell6.mtx.hgr","no",1,16,0.03,64,0.0209999999999999,1.2559,"km1",20295,20095,"no"
"Zoltan","af_shell6.mtx.hgr","no",2,16,0.03,64,0.022,1.26781,"km1",20160,19945,"no"
"Zoltan","af_shell6.mtx.hgr","no",3,16,0.03,64,0.02,1.27735,"km1",21025,20845,"no"
"Zoltan","af_shell6.mtx.hgr","no",4,16,0.03,64,0.014,1.28059,"km1",20530,20335,"no"
"Zoltan","af_shell6.mtx.hgr","no",5,16,0.03,64,0.0109999999999999,1.27592,"km1",19435,19240,"no"
"Zoltan","af_shell6.mtx.hgr","no",1,2,0.03,64,0.0089999999999999,0.550376,"km1",2390,2390,"no"
"Zoltan","af_shell6.mtx.hgr","no",2,2,0.03,64,0.0129999999999999,0.564397,"km1",2255,2255,"no"
"Zoltan","af_shell6.mtx.hgr","no",3,2,0.03,64,0.0189999999999999,0.556216,"km1",2240,2240,"no"
"Zoltan","af_shell6.mtx.hgr","no",4,2,0.03,64,0,0.549653,"km1",2100,2100,"no"
"Zoltan","af_shell6.mtx.hgr","no",5,2,0.03,64,0.004,0.553871,"km1",2070,2070,"no"
"Zoltan","af_shell6.mtx.hgr","no",1,64,0.03,64,0.03,1.44406,"km1",50730,49405,"no"
"Zoltan","af_shell6.mtx.hgr","no",2,64,0.03,64,0.0289999999999999,1.46381,"km1",51615,50215,"no"
"Zoltan","af_shell6.mtx.hgr","no",3,64,0.03,64,0.0269999999999999,1.46261,"km1",50965,49675,"no"
"Zoltan","af_shell6.mtx.hgr","no",4,64,0.03,64,0.0269999999999999,1.46692,"km1",49980,48695,"no"
"Zoltan","af_shell6.mtx.hgr","no",5,64,0.03,64,0.028,1.47199,"km1",50555,49230,"no"
"Zoltan","af_shell6.mtx.hgr","no",1,8,0.03,64,0.014,1.09621,"km1",11095,11050,"no"
"Zoltan","af_shell6.mtx.hgr","no",2,8,0.03,64,0.018,1.10647,"km1",11185,11140,"no"
"Zoltan","af_shell6.mtx.hgr","no",3,8,0.03,64,0.022,1.10962,"km1",10905,10875,"no"
"Zoltan","af_shell6.mtx.hgr","no",4,8,0.03,64,0.0229999999999999,1.11171,"km1",10685,10655,"no"
"Zoltan","af_shell6.mtx.hgr","no",5,8,0.03,64,0.012,1.12304,"km1",10610,10580,"no"
"Zoltan","boneS10.mtx.hgr","no",1,16,0.03,64,0.028,4.28541,"km1",40209,39921,"no"
"Zoltan","boneS10.mtx.hgr","no",2,16,0.03,64,0.0249999999999999,4.34871,"km1",36591,36312,"no"
"Zoltan","boneS10.mtx.hgr","no",3,16,0.03,64,0.0289999999999999,4.28547,"km1",37854,37683,"no"
"Zoltan","boneS10.mtx.hgr","no",4,16,0.03,64,0.028,4.54199,"km1",38271,38100,"no"
"Zoltan","boneS10.mtx.hgr","no",5,16,0.03,64,0.0289999999999999,4.25407,"km1",39639,39525,"no"
"Zoltan","boneS10.mtx.hgr","no",1,2,0.03,64,0.0229999999999999,1.78175,"km1",6978,6978,"no"
"Zoltan","boneS10.mtx.hgr","no",2,2,0.03,64,0.0089999999999999,1.82221,"km1",6150,6150,"no"
"Zoltan","boneS10.mtx.hgr","no",3,2,0.03,64,0.00600000000000001,1.79823,"km1",7365,7365,"no"
"Zoltan","boneS10.mtx.hgr","no",4,2,0.03,64,0.0209999999999999,1.80865,"km1",7866,7866,"no"
"Zoltan","boneS10.mtx.hgr","no",5,2,0.03,64,0.00600000000000001,1.795,"km1",7293,7293,"no"
"Zoltan","boneS10.mtx.hgr","no",1,64,0.03,64,0.0269999999999999,5.1183,"km1",95094,93498,"no"
"Zoltan","boneS10.mtx.hgr","no",2,64,0.03,64,0.0269999999999999,5.14251,"km1",92382,91044,"no"
"Zoltan","boneS10.mtx.hgr","no",3,64,0.03,64,0.03,5.13391,"km1",94602,93213,"no"
